x,y,z
-43.8255680842649,-35.4440472247884,3.02453558885307
-43.825669621263,-34.8181523859729,3.02729078871024
-43.8267556543409,-34.1928573269901,3.03056686088756
-43.8253914491678,-33.5651792856849,3.02181432467172
-43.8223095292621,-32.9357596696358,2.99587152849259
-43.6884132531116,-29.813509086209,1.30096523328279
-43.685584391351,-29.1865870984584,1.26254622025727
-43.682751821621,-28.5593351457334,1.22009643415795
-43.680658190248,-27.9303350889598,1.18789022342307
-43.6790405554848,-27.3024992190058,1.18194292664989
-43.6815928885923,-26.6754878828849,1.20867995319491
-43.6838939702903,-26.0489189127017,1.24013043753817
-43.6891257524719,-25.4215171975929,1.30655377536039
-43.6906930346504,-24.7882061329695,1.32352088704689
-43.8172338776455,-23.5730642836827,2.92367286256988
-43.8246656958812,-22.9418883140717,3.02925357296675
-43.8254967792326,-22.3166355666192,3.03500707347968
-43.8263294817523,-21.6905828142341,3.04599050063611
-43.8274193493407,-21.0647875574762,3.05072196021368
-43.8258012603477,-20.4397516532256,3.03663010495083
-43.8259026512991,-19.8147570765981,3.04640968803199
-43.8260040909846,-19.1894620925774,3.0424117620323
-43.8261055142692,-18.5642682076795,3.04304271391002
-43.8262069052206,-17.939273631052,3.04358168420291
-43.8272928896421,-17.3142784994666,3.04396431431271
-43.8264096871233,-16.6892844777971,3.05233861708039
-43.8265110780747,-16.0642899011696,3.05486712768526
-43.8258829875744,-15.4382531666508,3.0502394227333
-43.8259843785258,-14.8132585900233,3.05263676255806
-43.827070687374,-14.1862636257914,3.05595477547952
-43.8261879715741,-13.5582693701564,3.06151981309129
-43.8240906061032,-12.9291505465288,3.03197051080526
-43.678860409986,-10.3574788092592,1.19432899065595
-43.6699180154564,-9.72402510256074,1.08452836575465
-43.6656215498961,-9.09277901461552,1.03041515668643
-43.6627932136067,-8.46261791497219,0.997823012973209
-43.6614307252228,-7.83353811395619,0.97766982985687
-43.6605480091129,-7.20554576830459,0.981011769112572
-43.6638337330915,-6.57867536577429,1.01384142281207
-43.6685800599073,-5.95288995578809,1.07113875528119
-43.6730817603216,-5.32814655067718,1.13852332773954
-43.8228827327835,-2.31007389546104,3.04025550855755
-43.8244489765077,-1.68316407529101,3.06973597708058
-43.8245505299053,-1.05716814735275,3.07017836586727
-43.8246520829929,-0.431174129397918,3.07071968835127
-43.8247536360806,0.194819888556914,3.07595413104342
-43.824855027032,0.819814465184371,3.07681076282639
-43.8232423429059,1.44584968475356,3.0634102644791
-43.8233437338573,2.07084426138102,3.0715556782698
-43.8244297182788,2.69583939296646,3.07312996229678
-43.8245312716763,3.32183532090472,3.08152979540611
